TimeStep,TripID,Latitude,Longitude,Speed,Heading
1237,48,40.099155,-83.144933,61,270.0
1238,48,40.099158,-83.145255,60,270.0
1239,48,40.09916,-83.145573,60,270.0
1240,48,40.099162,-83.145893,60,270.0
1241,48,40.099163,-83.14621,60,270.0
1242,48,40.099165,-83.146525,59,270.0
1243,48,40.099165,-83.146842,59,270.0
1244,48,40.099167,-83.147155,59,270.0
1245,48,40.099168,-83.147467,59,270.0
1246,48,40.09917,-83.147778,58,270.0
1247,48,40.099172,-83.148088,58,270.0
1248,48,40.099172,-83.148398,58,270.0
1249,48,40.099173,-83.148708,58,270.0
1250,48,40.099173,-83.149018,59,270.0
1251,48,40.099175,-83.14933,59,270.0
1252,48,40.099175,-83.14964,59,270.0
1253,48,40.099177,-83.149952,59,270.0
1254,48,40.099177,-83.150263,60,270.0
1255,48,40.099177,-83.150577,60,270.0
1256,48,40.099178,-83.150892,60,270.0
1257,48,40.09918,-83.15121,60,270.0
1258,48,40.09918,-83.151528,61,270.0
1259,48,40.099182,-83.15185,61,270.0
1260,48,40.099185,-83.152173,62,270.0
1261,48,40.099188,-83.152497,62,270.0
1262,48,40.099192,-83.152823,62,270.0
1263,48,40.099193,-83.15315,62,270.0
1264,48,40.099197,-83.153478,62,270.0
1265,48,40.099198,-83.153808,62,270.0
1266,48,40.0992,-83.154138,62,270.0
1267,48,40.099203,-83.154467,62,270.0
1268,48,40.099205,-83.154798,63,270.0
1269,48,40.099205,-83.155128,63,270.0
1270,48,40.099205,-83.155458,63,270.0
1271,48,40.099207,-83.155788,63,270.0
1272,48,40.099207,-83.156118,63,264.0
1273,48,40.099207,-83.156448,63,270.0
1274,48,40.099207,-83.15678,63,270.0
1275,48,40.099208,-83.15711,63,270.0
1276,48,40.099212,-83.157438,63,270.0
1277,48,40.099215,-83.157768,62,270.0
1278,48,40.099218,-83.158097,63,270.0
1279,48,40.099222,-83.158425,63,270.0
1280,48,40.099223,-83.158755,63,270.0
1281,48,40.099222,-83.15909,63,264.0
1282,48,40.099217,-83.159425,63,264.0
1283,48,40.099218,-83.15976,64,270.0
