Time,CarId,Longitude,Latitude,Speed,Heading,Class
806.1359453,850847,49.259973,4.056535,3.12,5.8,0
806.3359453,850847,49.259978,4.056536,2.22,5.8,0
806.5359453,850847,49.259981,4.056536,1.33,5.8,0
806.7359453,850847,49.259982,4.056536,0.44,5.8,0
806.9359453,850847,49.259982,4.056536,0,5.8,0
807.1359453,850847,49.259982,4.056536,0,5.8,0
807.3359453,850847,49.259982,4.056536,0,5.8,0
808.3359453,850847,49.259982,4.056536,0,5.8,0
809.3359453,850847,49.259982,4.056536,0,5.8,0
810.3359453,850847,49.259983,4.056537,0.74,5.8,0
810.6359453,850847,49.259986,4.056537,1.47,5.8,0
810.9359453,850847,49.259991,4.056538,2.11,5.9,0
811.2359453,850847,49.259998,4.05654,2.74,6.1,0
811.5359453,850847,49.260006,4.056541,3.36,6.4,0
811.8359453,850847,49.260016,4.056544,4,6.8,0
812.1359453,850847,49.260028,4.056545,4.63,6,0
812.4359453,850847,49.260042,4.056545,5.17,4.3,0
812.7359453,850847,49.260056,4.056546,5.63,2.2,0
813.0359453,850847,49.260072,4.056543,6.08,357.7,0
813.2359453,850847,49.260083,4.05654,6.59,354.4,0
813.4359453,850847,49.260096,4.056536,6.98,350.5,0
813.6359453,850847,49.260108,4.056531,7.33,346.7,0
813.8359453,850847,49.260122,4.056526,7.79,346.2,0
814.1359453,850847,49.260143,4.056524,8.34,350.5,0
814.3359453,850847,49.260159,4.056524,8.75,356.1,0
814.5359453,850847,49.260175,4.056526,9.06,0.4,0
814.7359453,850847,49.260192,4.056529,9.43,3.9,0
814.9359453,850847,49.260209,4.056532,9.8,5,0
815.1359453,850847,49.260227,4.056535,10.13,5.6,0
815.4359453,850847,49.260255,4.05654,10.74,5.6,0
815.7359453,850847,49.260285,4.056545,11.32,5.6,0
816.0359453,850847,49.260317,4.056551,12.04,5.6,0
816.3359453,850847,49.26035,4.056556,12.53,5.6,0
816.6359453,850847,49.260384,4.056562,12.59,5.6,0
816.9359453,850847,49.260417,4.056568,12.47,5.6,0
817.3359453,850847,49.260462,4.056576,12.5,5.6,0
817.7359453,850847,49.260507,4.056585,12.57,6.8,0
818.1359453,850847,49.260552,4.056594,12.52,7.3,0
818.5359453,850847,49.260596,4.056605,12.47,8.1,0
818.9359453,850847,49.260641,4.056616,12.53,8.1,0
819.3359453,850847,49.260685,4.056626,12.56,8.1,0
819.7359453,850847,49.26073,4.056637,12.56,8.1,0
820.1359453,850847,49.260774,4.056648,12.57,8.1,0
820.5359453,850847,49.260819,4.056658,12.51,8.1,0
820.9359453,850847,49.260864,4.056669,12.49,8.1,0
821.3359453,850847,49.260908,4.05668,12.53,8.1,0
821.7359453,850847,49.260953,4.05669,12.59,7.6,0
822.1359453,850847,49.260997,4.056699,12.48,6.6,0
822.5359453,850847,49.261042,4.056707,12.52,6.2,0
822.9359453,850847,49.261087,4.056715,12.54,6.2,0
823.3359453,850847,49.261132,4.056724,12.48,6.2,0
823.7359453,850847,49.261176,4.056732,12.51,6.2,0
824.1359453,850847,49.261221,4.05674,12.53,6.2,0
824.5359453,850847,49.261266,4.056749,12.5,6.2,0
824.9359453,850847,49.261311,4.056757,12.56,6.2,0
825.3359453,850847,49.261356,4.056766,12.57,6.2,0
825.7359453,850847,49.2614,4.056774,12.58,6.2,0
826.1359453,850847,49.261445,4.056782,12.5,6.2,0
826.5359453,850847,49.26149,4.056791,12.49,6.2,0
826.9359453,850847,49.261535,4.056799,12.55,6.2,0
827.3359453,850847,49.261579,4.056807,12.48,6.2,0
827.7359453,850847,49.261624,4.056816,12.49,6.2,0
828.1359453,850847,49.261669,4.056824,12.58,6.2,0
828.5359453,850847,49.261714,4.056832,12.5,5.9,0
828.9359453,850847,49.261758,4.05684,12.52,5.7,0
829.3359453,850847,49.261803,4.056848,12.47,5.7,0
829.7359453,850847,49.261848,4.056856,12.5,6,0
830.1359453,850847,49.261893,4.056864,12.47,6.4,0
830.5359453,850847,49.261937,4.056873,12.48,6.4,0
830.9359453,850847,49.261982,4.056882,12.52,6.4,0
831.3359453,850847,49.262027,4.05689,12.56,6.4,0
831.7359453,850847,49.262071,4.056899,12.54,6.4,0
832.0359453,850847,49.262105,4.056914,12.51,13.5,0
832.1359453,850847,49.262113,4.056927,12.47,22.7,0
832.2359453,850847,49.262121,4.056939,12.59,32.1,0
832.3359453,850847,49.262131,4.05695,12.57,36.7,0
832.4359453,850847,49.262142,4.056957,12.51,36.2,0
832.5359453,850847,49.262153,4.056962,12.58,29.1,0
832.6359453,850847,49.262164,4.056964,12.47,20.3,0
832.7359453,850847,49.262175,4.056967,12.56,13.4,0
832.8359453,850847,49.262186,4.05697,12.56,10.4,0
832.9359453,850847,49.262197,4.056973,12.56,8.7,0
833.0359453,850847,49.262208,4.056976,12.52,8.7,0
833.4359453,850847,49.262253,4.056987,12.58,8.7,0
833.8359453,850847,49.262297,4.056999,12.53,8.7,0
66.70399928,859957,49.262306,4.056912,14.5,188.7,0
67.00399928,859957,49.262267,4.056902,15.03,188.7,0
67.30399928,859957,49.262226,4.056891,15.59,188.7,0
67.60399928,859957,49.262184,4.05688,15.7,188.7,0
67.90399928,859957,49.262142,4.056865,15.62,192.6,0
68.00399928,859957,49.26213,4.056853,15.68,200,0
68.10399928,859957,49.26212,4.056837,15.64,210.6,0
68.20399928,859957,49.262108,4.056823,15.68,216.4,0
68.30399928,859957,49.262094,4.056816,15.68,213.4,0
68.40399928,859957,49.26208,4.056812,15.51,203.2,0
68.50399928,859957,49.262066,4.056809,15.43,192.1,0
68.60399928,859957,49.262053,4.056807,15.36,188.5,0
68.70399928,859957,49.262039,4.056804,15.37,186.4,0
68.80399928,859957,49.262025,4.056801,15.32,186.4,0
69.10399928,859957,49.261985,4.056794,15.12,186.4,0
69.40399928,859957,49.261945,4.056786,14.89,186.4,0
69.70399928,859957,49.261905,4.056778,14.76,186.4,0
70.00399928,859957,49.261866,4.056771,14.54,186.4,0
70.30399928,859957,49.261827,4.056763,14.39,186.4,0
70.60399928,859957,49.261789,4.05676,14.3,182.7,0
70.80399928,859957,49.261763,4.056762,14.1,177.9,0
71.00399928,859957,49.261738,4.056769,14.01,171.5,0
71.20399928,859957,49.261714,4.056778,13.99,166.6,0
71.40399928,859957,49.261689,4.056781,13.97,170.9,0
71.60399928,859957,49.261664,4.056779,13.85,180.4,0
71.80399928,859957,49.261639,4.056774,13.85,185.1,0
72.00399928,859957,49.261615,4.05677,13.78,186.2,0
72.20399928,859957,49.26159,4.056765,13.66,186.2,0
72.40399928,859957,49.261566,4.056761,13.59,186.2,0
72.70399928,859957,49.26153,4.056754,13.52,186.2,0
73.00399928,859957,49.261494,4.056747,13.42,186.2,0
73.30399928,859957,49.261458,4.05674,13.36,186.2,0
73.60399928,859957,49.261422,4.056734,13.24,186.2,0
73.90399928,859957,49.261387,4.056727,13.27,186.2,0
74.20399928,859957,49.261351,4.05672,13.25,186.2,0
74.60399928,859957,49.261304,4.056712,13.16,186.2,0
75.00399928,859957,49.261258,4.056703,13,186.2,0
